Donkey	Sex	Age	Bodywt	Heartgirth	Umbgirth	Length	Height
s1	male	3.5	128	111	126	95	106
s2	male	2	102	106	120	75	101
s3	male	3	100	103	125	76	101
s4	male	3	92	102	121	73	101
s5	male	3	98	105	121	70	101
s6	male	4	110	101	126	80	101
s7	male	4	110	110	125	80	106
s8	male	3	122	115	128	82	103
s9	male	6	116	112	124	85	111
s10	female	5	100	107	122	77	105
s11	female	6	102	109	128	76	101
s12	female	10	104	104	120	80	101
s13	male	8	160	123	137	90	116
s14	male	10	130	114	132	95	110
s15	female	4	104	108	125	78	99
s16	female	12	218	139	162	105	126
s17	male	3	114	111	124	80	109
s18	female	3	104	107	126	75	106
s19	male	7	126	112	121	83	103
s20	female	8	136	121	150	85	109
s21	female	4	100	103	120	82	99
s22	male	6	140	115	139	82	109
s23	female	10	122	111	136	80	101
s24	male	12	188	127	160	100	119
s25	female	6	120	108	131	90	106
s26	female	8	112	108	125	78	103
s27	male	12	134	112	138	88	111
s28	female	10	106	105	132	82	106
s29	female	8	92	104	114	75	96
s30	male	10	92	102	103	85	99
s31	female	12	126	120	134	88	116
s32	male	10	104	108	122	80	116
s33	female	10	145	120	145	86	111
s34	male	14	162	121	127	89	113
s35	female	3	106	104	125	76	105
s36	female	8	114	108	124	81	103
s37	male	6	108	103	122	74	104
s38	female	8	134	111	139	79	104
s39	female	8	104	105	127	78	97
s40	male	8	136	115	134	78	107
s41	female	16	138	112	134	85	108
s42	female	10	116	108	121	80	97
s43	female	8	98	103	127	72	97
s44	male	8	104	105	115	76	99
s45	female	10	114	108	128	80	97
s46	male	12	130	112	133	84	104
s47	male	8	134	115	135	82	106
s48	female	6	119	108	134	78	98
s49	female	12	106	103	128	79	97
s50	male	8	119	110	130	78	105
s51	female	14	185	122	147	98	118
s52	male	14	206	127	161	118	179
s53	male	12	120	108	137	83	103
s54	female	8	114	108	124	81	103
s55	male	8	127	112	129	87	104
s56	male	12	125	111	134	86	107
s57	male	6	128	114	130	85	109
s58	female	6	140	115	136	91	108
s59	male	10	123	113	135	80	101
s60	male	8	120	112	136	78	105
s61	male	8	146	117	137	80	109
s62	female	6	106	103	122	80	104
s63	female	5	106	101	126	82	96
s64	male	4	100	103	124	77	92
s65	male	7	124	112	127	83	106
s66	male	6	120	110	122	79	103
s67	male	10	108	109	131	80	104
s68	female	10	102	106	123	82	100
s69	male	7	95	102	117	73	100
s70	female	10	121	112	130	82	104
s71	male	8	139	117	134	86	109
s72	male	8	106	103	126	77	95
s73	male	8	148	122	129	85	116
s74	male	12	114	111	128	85	102
s75	male	10	130	114	138	76	99
s76	female	6	114	109	133	78	105
s77	female	8	99	102	130	75	92
s78	male	8	134	113	132	86	105
s79	male	12	126	112	133	75	101
s80	male	6	110	108	124	79	101
s81	female	7	111	107	124	84	104
s82	female	10	136	121	146	90	109
s83	male	8	133	111	134	78	100
s84	male	10	146	118	153	84	106
s85	male	8	116	114	131	80	98
s86	male	12	120	112	130	83	98
s87	female	8	114	117	127	84	102
s88	male	6	116	113	126	78	99
s89	female	6	152	117	160	81	104
s90	male	10	128	119	135	80	101
s91	male	6	108	110	135	82	101
s92	female	4	148	125	158	90	105
s93	female	6	90	103	128	73	96
s94	female	8	104	110	136	80	96
s95	male	6	114	115	133	85	103
s96	male	4	108	113	128	84	103
s97	male	8	120	117	120	80	101
s98	male	8	102	107	127	73	99
s99	male	4	124	112	132	85	102
s100	male	6	114	110	133	81	101
s101	female	6	132	121	141	85	106
s102	male	6	128	123	138	84	109
s103	female	6	132	119	142	87	101
s104	male	4	142	114	142	88	105
s105	male	6	112	113	132	78	103
s106	female	10	132	118	145	76	107
s107	male	6	110	111	127	78	97
s108	female	10	118	119	134	85	102
s109	male	3	102	110	134	77	101
s110	male	10	124	114	134	80	102
s111	male	4	104	104	120	80	100
s112	male	6	124	116	133	85	105
s113	male	3	94	105	123	79	101
s114	male	6	114	112	129	87	102
s115	male	7	143	116	139	88	107
s116	male	8	156	119	145	85	108
s117	female	10	118	116	147	80	104
s118	female	6	162	126	146	98	116
s119	male	10	128	114	132	82	105
s120	male	2	98	109	128	74	96
s121	female	10	142	121	150	85	106
s122	female	8	132	110	150	80	99
s123	female	3.5	94	108	128	86	99
s124	female	2.5	86	106	123	76	97
s125	female	6	152	127	149	89	109
s126	female	6	216	134	166	96	111
s127	female	5	140	120	137	86	104
s128	female	8	106	112	138	75	99
s129	female	9	118	111	134	84	103
s130	female	10	100	109	131	77	95
s131	male	13	126	120	134	81	105
s132	female	3	100	108	125	69	92
s133	female	4	88	100	115	76	95
s134	female	2	96	109	128	80	101
s135	female	10	126	110	138	86	100
s136	male	7	118	109	132	85	102
s137	female	10	192	139	162	97	117
s138	female	8	136	106	144	82	105
s139	male	7	172	128	154	87	111
s140	female	4	118	111	138	83	105
s141	female	10	114	108	139	83	83
s142	male	8	152	128	147	82	110
s143	male	10	102	108	127	78	97
s144	male	13	134	116	144	78	101
s145	male	13	134	121	145	85	110
s146	male	8	90	104	126	85	100
s147	male	8	164	124	155	98	118
s148	male	4	134	121	145	90	111
s149	male	5	118	114	131	78	106
s150	male	2.5	100	111	131	72	104
s151	female	8	122	113	136	87	104
s152	male	6	124	114	138	77	106
s153	female	4	90	108	129	70	99
s154	male	6	106	110	129	71	103
s155	male	13	126	116	136	80	111
s156	female	6	106	111	137	72	104
s157	female	6	124	121	145	85	108
s158	male	12	124	115	130	78	107
s159	female	8	148	124	143	86	106
s160	female	3	130	119	142	77	104
s161	female	5	106	108	131	76	98
s162	female	6	180	131	163	93	114
s163	female	3	100	116	127	76	99
s164	female	2	134	111	143	84	101
s165	female	8	110	117	132	76	102
s166	female	3	110	109	130	79	102
s167	male	13	102	114	129	74	102
s168	male	10	124	113	135	74	108
s169	female	4	116	114	145	83	109
s170	male	6	96	102	116	77	97
s171	male	8	120	107	127	80	95
s172	female	6	134	115	136	85	100
s173	male	12	134	111	136	81	104
s174	female	4	96	101	121	75	98
s175	male	10	150	114	150	80	104
s176	female	10	116	107	125	79	102
s177	male	3	94	101	117	74	96
s178	male	10	112	105	131	76	95
s179	female	2	80	89	112	69	88
s180	female	12	100	103	132	85	93
s181	male	14	158	124	138	98	120
s182	male	1.5	62	86	102	63	86
s183	female	8	106	105	129	83	98
s184	male	1	52	80	102	58	76
s185	male	6	114	106	127	81	102
s186	female	10	168	125	154	90	109
s187	male	10	156	121	139	86	114
s188	male	8	162	122	141	88	112
s189	female	6	146	121	145	85	112
s190	male	10	143	115	137	83	106
s191	female	3	86	100	119	76	94
s192	male	10	112	110	130	85	108
s193	female	2	62	91	99	72	90
s194	male	8	138	113	140	77	102
s195	female	3	92	99	129	74	96
s196	male	8	120	106	135	87	103
s197	female	2	90	101	121	81	96
s198	male	12	112	103	123	80	96
s199	male	6	104	107	126	78	101
s200	female	8	122	116	134	86	107
s201	male	12	166	123	148	92	109
s202	male	8	114	109	130	78	99
s203	male	8	134	113	135	81	104
s204	male	12	174	124	154	92	119
s205	male	6	114	105	125	84	102
s206	male	10	168	125	140	90	107
s207	male	8	134	114	131	90	107
s208	female	4	96	103	122	75	94
s209	male	6	110	109	130	85	104
s210	male	8	112	110	124	86	107
s211	male	8	116	110	126	85	102
s212	male	12	100	104	118	82	102
s213	male	8	132	114	131	86	106
s214	female	8	114	114	136	85	102
s215	female	6	96	109	124	78	98
s216	male	6	134	114	135	85	108
s217	female	6	98	105	132	84	100
s218	male	5	118	111	126	82	105
s219	female	3	106	108	120	80	102
s220	male	8	132	112	136	76	107
s221	male	10	120	113	121	73	103
s222	male	12	106	108	122	82	102
s223	male	12	138	116	136	87	113
s224	female	3	106	108	130	77	103
s225	male	8	108	110	127	83	102
s226	male	12	150	120	145	87	116
s227	male	8	100	106	125	78	100
